encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp,mode
basic,1.0,400000,50000,0.5044760289023336,0.4221334324475004,0.50248,0.5046936621674165,0.3627869834298263,7.768513202667236,9550,kip_m6,2026-09-10T15:18:35.705872,ordered
categorical,0.01,4000,50000,0.5014643783445859,0.4892236955540047,0.50232,0.503400498458159,0.4758235176681972,4.296154975891113,9550,kip_m6,2026-09-10T15:18:40.217624,ordered
categorical,0.1,40000,50000,0.501672796619861,0.4907409297862349,0.50114,0.5021308598646277,0.4798562587342783,4.733214855194092,9550,kip_m6,2026-09-10T15:18:45.165734,ordered
categorical,0.3,120000,50000,0.5063738382512359,0.5321891656900919,0.505,0.5052941387602742,0.5621082052305849,4.092268466949463,9550,kip_m6,2026-09-10T15:18:49.475644,ordered
categorical,0.5,200000,50000,0.5007438960102231,0.5029813540731878,0.50154,0.5024302788844621,0.5035336394489918,6.394088268280029,9550,kip_m6,2026-09-10T15:18:56.089267,ordered
categorical,0.75,300000,50000,0.5004382598199618,0.5108799968662475,0.50054,0.5013839766261725,0.5207426632062288,7.903742790222168,9550,kip_m6,2026-09-10T15:19:04.210924,ordered
categorical,1.0,400000,50000,0.499854351528099,0.5078088026502603,0.5008,0.5016558226516539,0.5141145937312837,6.355348587036133,9550,kip_m6,2026-09-10T15:19:10.782831,ordered
tfidf,0.01,4000,50000,0.4978793019289382,0.4649079780768164,0.49818,0.4989471756843358,0.4352166101018167,7.051276683807373,9550,kip_m6,2026-09-10T15:19:18.051160,ordered
tfidf,0.1,40000,50000,0.4978581418603796,0.5247541635877906,0.49834,0.4993149203144155,0.552924735476143,8.646708250045776,9550,kip_m6,2026-09-10T15:19:26.925750,ordered
tfidf,0.3,120000,50000,0.503149653404877,0.5475377687391052,0.50164,0.502114763379625,0.601996406468357,9.056097030639648,9550,kip_m6,2026-09-10T15:19:36.207233,ordered
tfidf,0.5,200000,50000,0.501481674400625,0.3380928501675948,0.49842,0.4986764247897851,0.2557396685965262,14.43192434310913,9550,kip_m6,2026-09-10T15:19:50.862940,ordered
tfidf,0.75,300000,50000,0.4996662485186452,0.4075089843011159,0.4988,0.4995652425946322,0.3441006188860052,17.914201974868774,9550,kip_m6,2026-09-10T15:20:09.006947,ordered
tfidf,1.0,400000,50000,0.4983144945389623,0.4464143953426832,0.49792,0.4985470127567354,0.4041525254541824,22.11354732513428,9550,kip_m6,2026-09-10T15:20:31.356449,ordered
basic,0.01,4000,50000,0.5036281674198836,0.4767022823544288,0.50338,0.5015965939329431,0.454162149138658,2.988922119140625,9550,kip_m4,2026-09-10T15:25:32.979877,shuffled_train
basic,0.1,40000,50000,0.4989847511160372,0.4443555199857721,0.50012,0.4977339508939688,0.4013171103883066,1.8094627857208248,9550,kip_m4,2026-09-10T15:25:35.006925,shuffled_train
basic,0.3,120000,50000,0.4953390514322158,0.5155397253978284,0.49402,0.4927520316274983,0.5405372846644982,2.5141615867614746,9550,kip_m4,2026-09-10T15:25:37.740573,shuffled_train
basic,0.5,200000,50000,0.5006671668437965,0.3641096309906599,0.50164,0.4994749002310439,0.286471509456692,3.388315439224243,9550,kip_m4,2026-09-10T15:25:41.342786,shuffled_train
basic,0.75,300000,50000,0.4944813889206214,0.4549555410973758,0.49736,0.4946008393454991,0.4211942336264707,4.32231879234314,9550,kip_m4,2026-09-10T15:25:45.884657,shuffled_train
basic,1.0,400000,50000,0.5024085210588395,0.4173066117250421,0.50224,0.5004211353809871,0.3578685298959965,4.906890630722046,9550,kip_m4,2026-09-10T15:25:51.006063,shuffled_train
categorical,0.01,4000,50000,0.5012023877012254,0.4866843523145577,0.50078,0.4987776091721463,0.4751636349034253,1.2950844764709473,9550,kip_m4,2026-09-10T15:25:52.518656,shuffled_train
categorical,0.1,40000,50000,0.4979960842322505,0.475480989941989,0.49728,0.4949389634649637,0.4574950809139461,3.891048192977905,9550,kip_m4,2026-09-10T15:25:56.641334,shuffled_train
categorical,0.3,120000,50000,0.5005198534260813,0.5184542069417916,0.50082,0.4989601901366607,0.5395333895514597,2.6707472801208496,9550,kip_m4,2026-09-10T15:25:59.527820,shuffled_train
categorical,0.5,200000,50000,0.4999982095730461,0.5263257432483547,0.49908,0.4974439638222572,0.5587680199172791,6.041975736618042,9550,kip_m4,2026-09-10T15:26:05.785638,shuffled_train
categorical,0.75,300000,50000,0.5004057405081799,0.4990810865394325,0.50394,0.5020315293352836,0.4961651206681925,9.344750881195068,9550,kip_m4,2026-09-10T15:26:15.349913,shuffled_train
categorical,1.0,400000,50000,0.5010671032645994,0.5160153375421201,0.50016,0.4983355152421919,0.5349957836405252,7.693598031997681,9550,kip_m4,2026-09-10T15:26:23.260661,shuffled_train
tfidf,0.01,4000,50000,0.5017436934502587,0.5735525865022267,0.50208,0.50010454939212,0.6722884792996827,4.351280450820923,9550,kip_m4,2026-09-10T15:26:27.827062,shuffled_train
tfidf,0.1,40000,50000,0.498947420954054,0.5044049810932272,0.49934,0.4974617307091534,0.5115447937999438,5.96798586845398,9550,kip_m4,2026-09-10T15:26:34.028459,shuffled_train
tfidf,0.3,120000,50000,0.4970248520109321,0.4885377753281483,0.4989,0.4968443780102973,0.4805043569047906,9.238986730575562,9550,kip_m4,2026-09-10T15:26:43.499916,shuffled_train
tfidf,0.5,200000,50000,0.5000038376577737,0.4901952757194907,0.50188,0.4999373721347752,0.4808256033409629,20.0811185836792,9550,kip_m4,2026-09-10T15:27:03.842071,shuffled_train
tfidf,0.75,300000,50000,0.5003962587654379,0.5172227995227648,0.49824,0.4965820492923918,0.5396538569650243,22.09170651435852,9550,kip_m4,2026-09-10T15:27:26.169413,shuffled_train
tfidf,1.0,400000,50000,0.5038196615027122,0.5073711289205501,0.5021,0.5001560549313359,0.5147974139661888,23.78664207458496,9550,kip_m4,2026-09-10T15:27:50.194166,shuffled_train
basic,0.01,4000,50000,0.4992723000422521,0.4893160208567631,0.5005,0.5014668901927913,0.4777400678778199,1.396415948867798,9551,kip_m6,2026-09-10T15:20:41.413550,ordered
basic,0.1,40000,50000,0.4998986300715615,0.4917133804533268,0.49948,0.5003927080319127,0.4833300059892194,1.5662617683410645,9551,kip_m6,2026-09-10T15:20:43.197084,ordered
basic,0.3,120000,50000,0.5029355191110819,0.5042339031794216,0.50352,0.5044152315499261,0.5040527051307646,2.5007503032684326,9551,kip_m6,2026-09-10T15:20:45.916897,ordered
basic,0.5,200000,50000,0.4989089244649153,0.4874729227122246,0.4984,0.4992674452676964,0.4762227989618686,3.536426544189453,9551,kip_m6,2026-09-10T15:20:49.670922,ordered
basic,0.75,300000,50000,0.4975210551682187,0.5641579809669885,0.49988,0.500603173621207,0.64619684567778,6.784250497817993,9551,kip_m6,2026-09-10T15:20:56.670994,ordered
basic,1.0,400000,50000,0.5041019828904245,0.5159430452482519,0.50298,0.5036890545371567,0.5288081453383909,6.272011995315552,9551,kip_m6,2026-09-10T15:21:03.158762,ordered
categorical,0.01,4000,50000,0.5009840951884684,0.5058800237576717,0.50084,0.5017082269782054,0.5101217807945698,2.503745079040528,9551,kip_m6,2026-09-10T15:21:05.878076,ordered
categorical,0.1,40000,50000,0.4965991881813697,0.5023649785271824,0.4971,0.4980379846177994,0.5067678179277301,4.463359594345093,9551,kip_m6,2026-09-10T15:21:10.556809,ordered
categorical,0.3,120000,50000,0.4996150139526452,0.4932174478109008,0.50088,0.5018389189635936,0.4848872030345378,4.266513824462891,9551,kip_m6,2026-09-10T15:21:15.050069,ordered
categorical,0.5,200000,50000,0.4993541187073446,0.4994696287401181,0.49982,0.5007223113964687,0.4982231982431623,6.1816465854644775,9551,kip_m6,2026-09-10T15:21:21.474736,ordered
